Product_description,Product_url,Image_url,Price,Delivery_time,Product_Rating,previous_bought,Discount % ,delivery_type,fastest_delivery,
"Acer Aspire
                                        Lite, AMD Ryzen 3 7330U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm,
                                        Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light
                                        Laptop",https://amazon.in/sspa/click?ie=UTF8&spc=MToyNDc1NDUxMjgyNTU1NzQ6MTc1MTc1MjQ1NDpzcF9hdGY6MzAwMTY0NDk1MjkwOTMyOjowOjo&url=%2FAcer-Premium-Windows-AL15-41-Display%2Fdp%2FB0CWTYGPH8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.YpBvqs66B1G9FfyIAwiFlLjQKsTPqlTt6PWRNTifRQqn8xGVGJyCmxtMElcEKtP2IbVLptt2gbMP_q0VT2TSzamWwHwXiyvb_oXkra5rJWPF1A6xKA_2iE0LMbcALr_EVuHpHeC2qy6iYRNSHKezUDMLMnjZxCKSaveciiJkId5djUrZAlX_sLqs5grWfHX0tdPakUkxia3abuppo1pRuFxds1f_DydAPojkloBojTQ.h9xb3WAmuxXQ2CPATIVKJXZY2hNuqK4YkNoLhUi7sJk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752454%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,"28,490","FREE delivery Tue, 8 Jul","3.9
                                                out of 5 stars",N/A,39,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"HP
                                        15, 13th Gen Intel Core i5-1335U (16GB
                                        DDR4, 512GB SSD) FHD, Anti-Glare,
                                        Micro-Edge, 15.6''/39.6cm, Win11, M365
                                        Basic(1yr)* Office24, Silver,1.59kg,
                                        fd0577TU, Iris Xe, FHD Camera w/Shutter
                                        Laptop",https://amazon.in/sspa/click?ie=UTF8&spc=MToyNDc1NDUxMjgyNTU1NzQ6MTc1MTc1MjQ1NDpzcF9hdGY6MzAwNTU5NjYxMTA1ODMyOjowOjo&url=%2FHP-i5-1335U-Anti-Glare-Micro-Edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_2_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.YpBvqs66B1G9FfyIAwiFlLjQKsTPqlTt6PWRNTifRQqn8xGVGJyCmxtMElcEKtP2IbVLptt2gbMP_q0VT2TSzamWwHwXiyvb_oXkra5rJWPF1A6xKA_2iE0LMbcALr_EVuHpHeC2qy6iYRNSHKezUDMLMnjZxCKSaveciiJkId5djUrZAlX_sLqs5grWfHX0tdPakUkxia3abuppo1pRuFxds1f_DydAPojkloBojTQ.h9xb3WAmuxXQ2CPATIVKJXZY2hNuqK4YkNoLhUi7sJk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752454%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,"55,990","FREE delivery Tue, 8 Jul","3.6 out of 5
                                                stars","300+
                                    bought in past month"," 22
                                                    off ",FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter, Backlit Laptop",https://amazon.in/sspa/click?ie=UTF8&spc=MToyNDc1NDUxMjgyNTU1NzQ6MTc1MTc1MjQ1NDpzcF9tdGY6MzAwNTgyNTA5NTM0MTMyOjowOjo&url=%2FHP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU%2Fdp%2FB0F4R3GFMQ%2Fref%3Dsr_1_11_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.YpBvqs66B1G9FfyIAwiFlLjQKsTPqlTt6PWRNTifRQqn8xGVGJyCmxtMElcEKtP2IbVLptt2gbMP_q0VT2TSzamWwHwXiyvb_oXkra5rJWPF1A6xKA_2iE0LMbcALr_EVuHpHeC2qy6iYRNSHKezUDMLMnjZxCKSaveciiJkId5djUrZAlX_sLqs5grWfHX0tdPakUkxia3abuppo1pRuFxds1f_DydAPojkloBojTQ.h9xb3WAmuxXQ2CPATIVKJXZY2hNuqK4YkNoLhUi7sJk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752454%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/71nT03DWAHL._AC_UY218_.jpg,"38,490","FREE delivery Tue, 8 Jul",3.3 out of 5 stars,300+ bought in past month,25,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop",https://amazon.in/Logitech-Wireless-Receiver-Ambidextrous-Compatible/dp/B0D18192T2/ref=sr_1_84?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.r-WzdZ4ygPPWk8c4QKp5JQDIzIPWRp2P3P7_P8GfI1eXGlCqJpnjETSTiThspMNUv0I_F1elAp1ZP26THDR9V1KEpHmOG9CjtRB8Spv4o-NYk2wgAeJRVigUfAUxSg6MgEjI7LzS9xz7e8fyuZixiglSbJZgN48mnX3sitK4CiLIeU3cxMxUkaqNy9Y9D3P6bu_uEj3Zr3paW6uKBfjHvjZKTS-PUSDoB52z1FjDzMo._4Nsnc3AI5mP5n3NA8spvTPj5dPgX6-gcaO-zqQAnmE&dib_tag=se&keywords=laptop&qid=1751752469&sprefix=laptops%2Caps%2C154&sr=8-84,https://m.media-amazon.com/images/I/41xAn0iwc6L._AC_UY218_.jpg,549,"FREE delivery Tue, 8 Jul",4.0 out of 5 stars,5K+ bought in past month,54,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",#NAME?
"Lenovo IdeaPad Slim 1 AMD Ryzen 7 5700U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1 Year Warranty + 1 Year ADP/Cloud Grey/1.6Kg), 82R400EFIN",https://amazon.in/sspa/click?ie=UTF8&spc=MTozMDY4ODgzMjM2NDA3MDcxOjE3NTE3NTI0Njk6c3BfYnRmOjMwMDQ3MjYyMDA4OTUzMjo6MDo6&url=%2FLenovo-IdeaPad-Windows-Warranty-82R400EFIN%2Fdp%2FB0CYPX4D1T%2Fref%3Dsr_1_85_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.r-WzdZ4ygPPWk8c4QKp5JQDIzIPWRp2P3P7_P8GfI1eXGlCqJpnjETSTiThspMNUv0I_F1elAp1ZP26THDR9V1KEpHmOG9CjtRB8Spv4o-NYk2wgAeJRVigUfAUxSg6MgEjI7LzS9xz7e8fyuZixiglSbJZgN48mnX3sitK4CiLIeU3cxMxUkaqNy9Y9D3P6bu_uEj3Zr3paW6uKBfjHvjZKTS-PUSDoB52z1FjDzMo._4Nsnc3AI5mP5n3NA8spvTPj5dPgX6-gcaO-zqQAnmE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752469%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/61CHy-sShhL._AC_UY218_.jpg,"42,949","FREE delivery Wed, 9 Jul",3.9 out of 5 stars,N/A,42,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm, FHD, Win 11, MSO 21, Silver, 1.59kg, Intel UHD Graphics, 1080p FHD Camera, 15-fd0006TU/fd0186tu",https://amazon.in/sspa/click?ie=UTF8&spc=MTozMDY4ODgzMjM2NDA3MDcxOjE3NTE3NTI0Njk6c3BfYnRmOjMwMDIwNzAwMDM0NzEzMjo6MDo6&url=%2FHP-i3-1315U-Anti-Glare-Micro-Edge-Graphics%2Fdp%2FB0D2KDCWJL%2Fref%3Dsr_1_86_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.r-WzdZ4ygPPWk8c4QKp5JQDIzIPWRp2P3P7_P8GfI1eXGlCqJpnjETSTiThspMNUv0I_F1elAp1ZP26THDR9V1KEpHmOG9CjtRB8Spv4o-NYk2wgAeJRVigUfAUxSg6MgEjI7LzS9xz7e8fyuZixiglSbJZgN48mnX3sitK4CiLIeU3cxMxUkaqNy9Y9D3P6bu_uEj3Zr3paW6uKBfjHvjZKTS-PUSDoB52z1FjDzMo._4Nsnc3AI5mP5n3NA8spvTPj5dPgX6-gcaO-zqQAnmE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752469%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/718ba2SBJYL._AC_UY218_.jpg,"36,990","FREE delivery Tue, 8 Jul",3.7 out of 5 stars,50+ bought in past month,27,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4Njc4NDg0ODYzNDQyMTI5OjE3NTE3NTI0NzI6c3BfYXRmX25leHQ6MzAwNTU5NjYxMTA1ODMyOjowOjo&url=%2FHP-i5-1335U-Anti-Glare-Micro-Edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_81_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.FJDj2OlGPeZqpLEFasVkZKJrZzjBO9usvm5CgLx6HDUHvS9lWR70TLq2hKupL4tHzFlS_T6cE9GWL4fPG4gFgls_Du3AaOKXmrBfhSAri_xxMjR6dZO9bQ3vVc2msDAyhW8zOo7apDKPXrk1UmhpU9wfSpQ7y3kA2JB5J4WUo1gfXjVZUd-ca4vAV-2zn1udN2OEVgkAZDUubAAZeJeh_ZE7UUNQVL8VL9uwPkZHqrM.fAXFX_GK1EoDLTBjF0Xs3IQ_8OJZnFcfzCb5QQBwuMA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752472%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,"55,990","FREE delivery Tue, 8 Jul",3.6 out of 5 stars,300+ bought in past month,22,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4Njc4NDg0ODYzNDQyMTI5OjE3NTE3NTI0NzI6c3BfYXRmX25leHQ6MzAwMTY0NDk1MjkwOTMyOjowOjo&url=%2FAcer-Premium-Windows-AL15-41-Display%2Fdp%2FB0CWTYGPH8%2Fref%3Dsr_1_82_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.FJDj2OlGPeZqpLEFasVkZKJrZzjBO9usvm5CgLx6HDUHvS9lWR70TLq2hKupL4tHzFlS_T6cE9GWL4fPG4gFgls_Du3AaOKXmrBfhSAri_xxMjR6dZO9bQ3vVc2msDAyhW8zOo7apDKPXrk1UmhpU9wfSpQ7y3kA2JB5J4WUo1gfXjVZUd-ca4vAV-2zn1udN2OEVgkAZDUubAAZeJeh_ZE7UUNQVL8VL9uwPkZHqrM.fAXFX_GK1EoDLTBjF0Xs3IQ_8OJZnFcfzCb5QQBwuMA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752472%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,"28,490","FREE delivery Tue, 8 Jul",3.9 out of 5 stars,100+ bought in past month,39,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"DELL 14 (2025) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" HD Display/Grey/1.5 kg/MS Office 2021",https://amazon.in/DELL-14-Intel-Core-1215U/dp/B0F6DCF3VS/ref=sr_1_83?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.FJDj2OlGPeZqpLEFasVkZKJrZzjBO9usvm5CgLx6HDUHvS9lWR70TLq2hKupL4tHzFlS_T6cE9GWL4fPG4gFgls_Du3AaOKXmrBfhSAri_xxMjR6dZO9bQ3vVc2msDAyhW8zOo7apDKPXrk1UmhpU9wfSpQ7y3kA2JB5J4WUo1gfXjVZUd-ca4vAV-2zn1udN2OEVgkAZDUubAAZeJeh_ZE7UUNQVL8VL9uwPkZHqrM.fAXFX_GK1EoDLTBjF0Xs3IQ_8OJZnFcfzCb5QQBwuMA&dib_tag=se&keywords=laptop&qid=1751752472&sprefix=laptops%2Caps%2C154&sr=8-83,https://m.media-amazon.com/images/I/710pC9glKFL._AC_UY218_.jpg,"29,840","FREE delivery Wed, 9 Jul",5.0 out of 5 stars,N/A,63,FREE Prime Delivery,N/A,
"Gooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers | Blue Color, Power Source: 3xAA Battery (Not Included)",https://amazon.in/Gooyo-Educational-Laptop-Toy-Toddlers/dp/B0BMVM18R8/ref=sr_1_84?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.FJDj2OlGPeZqpLEFasVkZKJrZzjBO9usvm5CgLx6HDUHvS9lWR70TLq2hKupL4tHzFlS_T6cE9GWL4fPG4gFgls_Du3AaOKXmrBfhSAri_xxMjR6dZO9bQ3vVc2msDAyhW8zOo7apDKPXrk1UmhpU9wfSpQ7y3kA2JB5J4WUo1gfXjVZUd-ca4vAV-2zn1udN2OEVgkAZDUubAAZeJeh_ZE7UUNQVL8VL9uwPkZHqrM.fAXFX_GK1EoDLTBjF0Xs3IQ_8OJZnFcfzCb5QQBwuMA&dib_tag=se&keywords=laptop&qid=1751752472&sprefix=laptops%2Caps%2C154&sr=8-84,https://m.media-amazon.com/images/I/71zFrQvHTOL._AC_UY218_.jpg,367,"FREE delivery Tue, 8 Jul on first order",3.8 out of 5 stars,1K+ bought in past month,54,FREE Delivery,"Or fastest delivery Tomorrow, 7 Jul",
